wallet,n_swaps,buys,sells,buy_usd,sell_usd,matched_usd,span_days,syms
HpcHy6dNYRotVim8HPpZmsfnekviyv1sRcX1C533SYky,912,449,463,1473979,1473640,2947279,2.9,QQQX+SPYX+TSLAX
33X9awzeff9PbKBpQYaf1ZJTp8Ksxv8Fne3WxajLpwM7,926,463,463,568400,568221,1136442,3.1,SPYX
964TGnJnjTUZDoVtQ1kaEuyrLLBjAqZhhVgCsVupQ6AK,124,62,62,267708,267639,535279,4.1,SPYX
78jkE1hPATuzEnAY6ENpfuLf9DZYtXS5iqnmYAeFpFNY,116,58,58,100906,100886,201772,0.0,SPYX
3T1YdUjo2edVC1oJ6MK7HvKic2JKGs53GC4HuEV6U7rv,116,58,58,100820,100800,201599,0.0,SPYX
B2ES7UzwvJTw2A7dX2WpvqQ7xxB58AkSbSp4WbE2eCqL,116,58,58,100783,100763,201525,0.0,SPYX
6G11Z8xR1auD4mbgkh9minP9fQycKWdQcAJ7uxH8Smoz,20,10,10,50000,49990,99980,0.0,SPYX
8gw6JyEW1PGLzehpNeNU4jzb2iVtjet1o7YHQPxM1wmH,62,31,31,20206,20195,40391,2.8,TSLAX
vwbEYDGUamnFvhr9fq6RQnXK8Pn76okVw1kwgFPpt9Z,69,35,34,20208,20194,40388,2.8,TSLAX
AtzmNv2ww5iQRT5XytY43SKvTTeFPL3LdrFPeCiJDFAv,62,31,31,20110,20093,40185,2.8,TSLAX
FMMs8SGxukt4DRy1wKGyjCcovqj2xci16doZDPqc33eC,62,31,31,20108,20088,40177,2.8,TSLAX
2eTkWQyt9iGuXP5XUayXRdZuvLoHzDf48ZDjY8EWQUiF,60,30,30,20030,20016,40033,2.8,TSLAX
C6FyA84D6JLtkSSyq45gcLFi67P3q61FhGohEFYd9rvF,104,52,52,15397,15392,30785,2.9,QQQX+SPYX
H2iJUNtdAbVMFQHNgibN9MxZry8UfmpfsVNUnc9eKGog,87,44,43,11929,11657,23314,2.9,QQQX+SPYX
